id,timestamp,text,search_term,location,sentiment,topic,month
1491725003213062145,2022-02-10 10:45:30,@misskylie77 I agree without naming them peasants.Affordable housing best results are to serve the purpose of providing affordable housing &amp; action to use good state owned land but not prime government/taxpayer owned land for that &amp; funding the building programmes 2 enable best use &amp; win/win,housing,,0.4489795918367347,housing,2
1491757427469189122,2022-02-10 12:54:20,"@TedTratt @JulianHillMP Indeed, Ted. But it's the LNP way. When you call Centrelink now, chances are you'll be answered by a Serco staffers.",centrelink,"Hobart, Tasmania",0.08695652173913043,social security,2
1491697445407195137,2022-02-10 08:56:00,"@ivadasko theres much more going on thats totally censored,psyops are run on minorities especially in public housing the medical community poisons them with mold and microbes to induce mental illness and various citizens are complicit with this ,the police try to shoot the victims",housing,,-0.2222222222222222,housing,2
1491821734940450841,2022-02-10 17:09:52,@DrAseemMalhotra Hyperinflation will kill more than covid ever did. But I suppose that's exactly what Klaus wanted.,inflation,,-0.17647058823529413,cost of living,2
1491571208881586184,2022-02-10 00:34:22,@LitaGillies @polythene2008 @AlboMP Yeah… nah - You’ve just described the perfect recipe for inflation. Which by the way is now ramping up… Things will get harder for everyone over the coming years.,inflation,,0.09375,cost of living,2
1491747189789388800,2022-02-10 12:13:40,@smatt1616 @GianniMorandi00 Except don’t actually pay it ALL off. Keep your mortgage to around $100 so you can easily ask the bank for more cash to buy another property without going through all the paperwork and loan application fees.,mortgage,,-0.02564102564102564,housing,2
1491578304494641157,2022-02-10 01:02:34,"@arniemurths @BkJay @PapaverP @Gerardo02167955 @Ponz55 @rhetorical_joke @CgeFor @Oni256 @tom_country @Adam_Y Yeah for sure, people can never seem to have a civil discussion before it devolves into some political bs. I'll take that cheaper housing please haha paying $440 aud per week feels rouuugh",housing,,0.15217391304347827,housing,2
1491571903072378884,2022-02-10 00:37:08,"@iaindooley @JohnQuiggin @profholden Haha, a typical old Keynesian. There's nothing new in MMT. 🤣 Maybe I've got a chance to hit the mainstream again, even though we had no answers to the 1970s inflation &amp; allowed the Monetarist take over.",inflation,,0.1,cost of living,2
1491644987632619522,2022-02-10 05:27:33,"@AmMasterchef Generally, your parent's need to be in Australia and an Australian resident to claim Age Pension. However, they may be able to claim Age Pension if they're in a country we have an international social security agreement with. 

You can check this, here: https://t.co/mBXFqaLStK",social security,,0.020833333333333332,social security,2
1491580362429853698,2022-02-10 01:10:45,@adventure_ali_ Maybe if they get into power for a couple of terms it would be reintroduced. Would no doubt depress current house prices but the upside is more affordable housing for owner occupiers which has much greater social benefit than looking after investors.,housing,"Brisbane, Queensland",0.11363636363636363,housing,2
1491752058935910406,2022-02-10 12:33:00,"@HungFancyson @PooterF @LunaV_87 nah it's not the quitting that's american, it's the assuming that people can just drop jobs in a country without decent social security

I agree tho, if you have the opportunity to change into a better job, take it",social security,,0.09302325581395349,social security,2
1491644531476877315,2022-02-10 05:25:44,"@michael026802 Hi, if you're using your Centrelink online account through myGov, can you please check you have cookies and JavaScript enabled for your Centrelink online account to work correctly, and try again? If you're using the app, please make sure it is updated. Let us know how you go.",centrelink,,0.04081632653061224,social security,2
1491579890650345472,2022-02-10 01:08:52,"@MrScottSpeaking @CuddlyCaracal @JeremyPoxon Oh yeah, people can just walk into centrelink and magically get disability payments. Educate yourself about the system and then you'll understand why so many people who should be on dsp aren't. Until then you should keep your opinions to yourself.",centrelink,,-0.022727272727272728,social security,2
1491611080506101765,2022-02-10 03:12:49,"@MrScottSpeaking @CuddlyCaracal @JeremyPoxon Scott, you are may be the most arrogant, over-opinionated, misinformed Twerp I've seen. Even most people with Cancer have to battle Centrelink.",centrelink,,-0.24,social security,2
1491578267962200065,2022-02-10 01:02:25,"@SafemoonFlank yes, with the right advertising we can. doge is a useless inflationary coin, if it can do it then so can we.",inflation,,-0.043478260869565216,cost of living,2
1491610650606551040,2022-02-10 03:11:06,"@akashfotedar5 I have 3 kids and a mortgage, so suddenly losing my job would be really hard.",mortgage,,-0.23529411764705882,housing,2
1491817650494009345,2022-02-10 16:53:39,"@GetaGripDumbass @GareththeSoutie @sarahmanavis @quinlan_carrie We were the generation that didn’t have to go into debt for further education, that could buy a house with a mortgage of 3.5 times our annual wage (plus a small deposit), who could bring up a family of 3 or more kids on a single income and minimal child allowance.",mortgage,,-0.03508771929824561,housing,2
1491752668380819456,2022-02-10 12:35:26,@kristenmchugh22 @sarahmanavis My dad had a public service wage. 5 kids.Bought one house after being fortunate enough to get public housing in the meantime. Had to fight to get a loan in the mid 1970s. Because they didn't see him as a good risk. Paid off in 8 years. Those were the days.,housing,,0.037037037037037035,housing,2
1491645200078282753,2022-02-10 05:28:23,"@Tommee_C Hi there, we've seen a similar post and we responded to you, here: https://t.co/4kg32OH9cb

We just wanted to let you know a myGov Inbox is different to your app. Have you linked Centrelink to your myGov account?",centrelink,,0.0,social security,2
1491562875327946754,2022-02-10 00:01:16,"@rdean101 @ian_ianm8349 @MikeCarlton01 @James_Jeffrey Sorry, I simplified that a bit.
Factor in:-
- deposit, as a proportion to salary
- variable interest is just that, 17 high and 2 low are outliers
The point is that “entry level” houses now are roughly 10x salary vs 3x in the 90’s",variable interest,,0.0,interest rate,2
1491639146623819778,2022-02-10 05:04:20,@Judith54Nunn @MyFirstCousin If he told me that the best way forward was to invest a billion dollars in affordable housing in the next 3 years I would question my understanding of the benefits of this kind of action 😂,housing,,0.2564102564102564,housing,2
1491581881778802692,2022-02-10 01:16:47,"@Guy1ncogn1t0 I was pretty shallow and they are supposed to be fine to 10 meters without a housing. I was just free diving, so only went to about 4 or 5 meters.",housing,,0.125,housing,2
1491564187931189248,2022-02-10 00:06:28,@Fat_Unicorn12 @GuyKid88 But this keeps the Hero market inflation down. Can't see that being a bad thing,inflation,,-0.05555555555555555,cost of living,2
1491652112497152006,2022-02-10 05:55:51,@LG_Nomad I feel like the money you would save if it drops in a year is cancelled out because you’ve spent it on rent. If you can afford to get in now do it. Lock in a good interest rate before they go up. Then again I’m not privy to the market where you are.,interest rate,,0.125,interest rate,2
1491726271247970305,2022-02-10 10:50:32,"@lagertha_vgx @LG_Nomad I hear that ! Crazy to think you could get one in an affluent suburb in Auckland for 200k 20 years ago, now you need 1.5M + , Sydney is pretty much on par with Auckland, but I feel Australia has cheaper cost of living and better wages etc.",cost of living,,0.019230769230769232,cost of living,2
1491583793865838597,2022-02-10 01:24:23,@friesframe @boredape93 Ahah true - hyperinflation.mpeg,inflation,"Perth, Western Australia",0.2857142857142857,cost of living,2
1491631127144001541,2022-02-10 04:32:28,"@villapaco @XHNews If high interest rates equate to genocide, tell these banks which charge 18% or more for credit card debt. Nonsense.",interest rate,,-0.13636363636363635,interest rate,2
1491760397959196672,2022-02-10 13:06:09,@Tweet_Dec Housing is unaffordable.,housing,,0.0,housing,2
